treatment,K,learner,seed,theta,se,p_value,ci_lower,ci_upper,ci_contains_zero
real_min_wage,5,gradient_boosting,42,-1.9267357600662653e-06,2.629628514675604e-06,0.4637398122580225,-7.080807648830449e-06,3.2273361286979185e-06,True
real_min_wage,5,gradient_boosting,123,-1.6710820179693924e-06,2.722436352446313e-06,0.5393352175022148,-7.007057268764165e-06,3.664893232825381e-06,True
real_min_wage,5,gradient_boosting,2024,-1.15934718734426e-06,2.6579279508849592e-06,0.6627028147102685,-6.36888597107878e-06,4.0501915963902605e-06,True
real_min_wage,10,ridge,42,-1.5396389741982868e-05,5.1552849402102925e-06,0.0028216733901211,-2.550074822479504e-05,-5.292031259170695e-06,False
real_min_wage,10,ridge,123,-1.521540054059929e-05,5.178700190531692e-06,0.0033025897478013,-2.5365652914041407e-05,-5.065148167157175e-06,False
real_min_wage,10,ridge,2024,-1.5174808452996204e-05,5.152950351201186e-06,0.0032308236782585,-2.527459114135053e-05,-5.07502576464188e-06,False
real_min_wage,10,random_forest,42,-3.5767779007893395e-06,2.811210562909445e-06,0.2032571109760175,-9.086750604091852e-06,1.9331948025131728e-06,True
real_min_wage,10,random_forest,123,-3.61642527771236e-06,2.834656947664968e-06,0.2020299767275213,-9.172352895135697e-06,1.9395023397109774e-06,True
real_min_wage,10,random_forest,2024,-3.3827497557691936e-06,2.7630014180210097e-06,0.2208381052435024,-8.798232535090373e-06,2.0327330235519856e-06,True
real_min_wage,10,gradient_boosting,42,-1.39579871732646e-06,2.53693298032476e-06,0.5821880990990045,-6.368187358762989e-06,3.576589924110069e-06,True
real_min_wage,10,gradient_boosting,123,-9.177323335446704e-07,2.6153655135003662e-06,0.7256632065812971,-6.043848740005388e-06,4.208384072916048e-06,True
real_min_wage,10,gradient_boosting,2024,-2.4031422986168965e-06,2.5837441567707903e-06,0.3523189384145646,-7.467280845887645e-06,2.660996248653852e-06,True
min_wage_growth,2,ridge,42,-530.8108722650713,245.209231008782,0.0304086514730974,-1011.420965042284,-50.2007794878586,False
min_wage_growth,2,ridge,123,14.10922913388703,165.06930722907313,0.9318841064781972,-309.4266130350963,337.64507130287035,True
min_wage_growth,2,ridge,2024,-267.646889464636,466.4407632364289,0.5660985354810943,-1181.870785408037,646.5770064787646,True
min_wage_growth,2,random_forest,42,46.54536503939762,142.73510882952127,0.7443516332450559,-233.21544826646408,326.3061783452593,True
min_wage_growth,2,random_forest,123,255.7505975636136,156.12469865153395,0.1013971897166248,-50.25381179339291,561.7550069206202,True
min_wage_growth,2,random_forest,2024,127.78541549357524,232.45877643997227,0.5825168169332233,-327.83378632877043,583.4046173159209,True
min_wage_growth,2,gradient_boosting,42,-176.06515539761352,140.25949288501647,0.2093765658350745,-450.9737614522458,98.84345065701876,True
min_wage_growth,2,gradient_boosting,123,-9.05476533309645,132.81947219561957,0.945647539525523,-269.3809308365108,251.27140017031792,True
min_wage_growth,2,gradient_boosting,2024,-77.42889992477669,154.63270420615456,0.616562676492685,-380.5090001688396,225.65120031928623,True
min_wage_growth,5,ridge,42,-66.24631214057023,131.9062384100555,0.6155108505469562,-324.7825394242789,192.28991514313844,True
min_wage_growth,5,ridge,123,87.05866876240967,148.7387604920331,0.5583375525761454,-204.4693018019752,378.5866393267945,True
min_wage_growth,5,ridge,2024,39.38476935509985,195.26958094503476,0.8401556872765592,-343.3436092971682,422.113148007368,True
min_wage_growth,5,random_forest,42,101.4119860038758,142.28228446342723,0.4759992188229023,-177.46129154444156,380.2852635521932,True
min_wage_growth,5,random_forest,123,1.4706223189159036,130.4360262794144,0.991004310563532,-254.1839891887363,257.1252338265681,True
min_wage_growth,5,random_forest,2024,-19.069919276260112,153.2843680628026,0.900991631981787,-319.5072806793532,281.36744212683294,True
min_wage_growth,5,gradient_boosting,42,-156.32716531825162,125.08297675924403,0.2113771119299361,-401.4897997663699,88.83546912986668,True
min_wage_growth,5,gradient_boosting,123,-100.1925916391777,98.12057689282749,0.3071989975581035,-292.5089223491196,92.12373907076412,True
min_wage_growth,5,gradient_boosting,2024,-20.12472490746998,150.6308078564862,0.8937165271042715,-315.3611083061829,275.111658491243,True
min_wage_growth,10,ridge,42,11.868316813624908,129.41982407068573,0.9269332114672655,-241.79453836491913,265.53117199216894,True
min_wage_growth,10,ridge,123,40.808774041349146,141.06818802631403,0.7723640317717158,-235.68487449022635,317.3024225729246,True
min_wage_growth,10,ridge,2024,30.188513943117417,140.63166037539312,0.8300295182819224,-245.4495403926531,305.8265682788879,True
min_wage_growth,10,random_forest,42,20.736703310166156,134.58259291518075,0.8775453840147371,-243.0451788035881,284.5185854239204,True
min_wage_growth,10,random_forest,123,-58.3639203444417,141.88879276302484,0.6808264242188313,-336.46595415997035,219.73811347108696,True
min_wage_growth,10,random_forest,2024,-46.911002447595706,144.05609850253904,0.7446937268805953,-329.26095551257225,235.43895061738084,True
min_wage_growth,10,gradient_boosting,42,-168.39633655556455,126.10491591013762,0.18175627721821508,-415.5619717394343,78.7692986283052,True
min_wage_growth,10,gradient_boosting,123,-118.78193315360515,111.93816558160714,0.28862681721431627,-338.18073769355516,100.61687138634484,True
min_wage_growth,10,gradient_boosting,2024,-53.6413742037065,145.36879948337028,0.7121262521976837,-338.56422119111227,231.28147278369926,True
