province,year,wage_region,unemployment_rate,labour_productivity,trained_labour_rate,log_employed_persons,treatment,cate,cate_lb,cate_ub
Ha Giang,2023,IV,3.14,85.27,21.05,5.903070396345386,log_real_min_wage,1.3391962184035393,-14.223822832734475,16.902215269541554
Ha Giang,2024,IV,2.89,92.48,22.27,5.920639641327703,log_real_min_wage,-0.046738675880028,-15.162859623882218,15.06938227212216
Ha Nam,2018,III,2.17,99.58,20.8,6.171784101231264,log_real_min_wage,-5.330439716684218,-18.19623187696348,7.535352443595038
Ha Nam,2019,III,1.83,114.25,20.0,6.171491807348564,log_real_min_wage,-9.551477210750726,-26.18827183562845,7.08531741412699
Ha Nam,2020,III,1.76,130.26,22.05,6.13133517922837,log_real_min_wage,-11.379018146632973,-26.29240114214834,3.5343648488823867
Ha Nam,2021,III,1.91,153.76,27.57,6.0692585745480025,log_real_min_wage,-10.407504824012197,-25.254834252495783,4.439824604471392
Ha Nam,2022,III,0.91,168.36,27.6,6.116642395836211,log_real_min_wage,-12.43295579948736,-28.205408443895,3.339496844920207
Ha Nam,2023,III,1.34,185.82,29.45,6.123588700035024,log_real_min_wage,-10.668977313461154,-32.94920435794827,11.611249731025955
Ha Nam,2024,III,1.89,208.32,32.25,6.134655386698898,log_real_min_wage,-7.872995118330717,-33.27525731146391,17.52926707480245
Ha Noi,2018,I,1.8,215.49,42.0,8.318466604948952,log_real_min_wage,-29.36278445426554,-66.37368474987825,7.64811584134716
Ha Noi,2019,I,1.78,240.54,48.1,8.306158530677104,log_real_min_wage,-19.32073640239665,-55.555061637206336,16.91358883241301
Ha Noi,2020,I,2.11,251.72,48.5,8.30464085465427,log_real_min_wage,-17.279694331746494,-54.98731201144904,20.42792334795603
Ha Noi,2021,I,2.68,278.43,50.27,8.253146913156332,log_real_min_wage,-16.23687522140913,-51.157998074464295,18.68424763164606
Ha Noi,2022,I,2.22,304.06,50.3,8.27607404276969,log_real_min_wage,-16.546939370054055,-53.31834847332094,20.22446973321282
Ha Noi,2023,I,2.01,319.04,50.77,8.30125362895053,log_real_min_wage,-17.096213017078455,-53.85842197365736,19.665995939500416
Ha Noi,2024,I,1.77,345.63,53.9,8.321020144131534,log_real_min_wage,-17.53604289757295,-54.38342020971703,19.311334414571107
Ha Tinh,2018,III,4.97,102.87,24.2,6.523914666970636,log_real_min_wage,-15.330385927096405,-31.61119397289858,0.950422118705756
Ha Tinh,2019,III,3.36,113.69,25.0,6.532450733768825,log_real_min_wage,-14.760825689493672,-27.47603089203348,-2.045620486953874
Ha Tinh,2020,III,3.18,125.93,25.7,6.483703503998185,log_real_min_wage,-17.335849541778146,-30.280382578427314,-4.391316505128971
Ha Tinh,2021,III,5.38,184.92,30.48,6.193588731198116,log_real_min_wage,-19.34132308717556,-52.53619348007444,13.853547305723325
Ha Tinh,2022,III,5.43,187.48,30.8,6.220530526173959,log_real_min_wage,-20.27830671542053,-55.73510480905409,15.17849137821302
Ha Tinh,2023,III,5.51,201.63,31.58,6.219137823708588,log_real_min_wage,-19.03206934735832,-53.64289213912188,15.578753444405264
Ha Tinh,2024,III,4.4,217.31,32.28,6.228037518733853,log_real_min_wage,-16.486830406205403,-49.37398810336079,16.400327290949935
Hai Duong,2018,II,2.75,110.78,17.5,6.944627081757988,log_real_min_wage,-55.49770572046755,-83.11917703127021,-27.876234409664946
Hai Duong,2019,II,1.99,120.19,22.1,6.960262336461152,log_real_min_wage,-55.12013181585328,-82.36784947022896,-27.872414161477582
Hai Duong,2020,II,1.7,131.15,24.77,6.9073652029123584,log_real_min_wage,-45.48159003970724,-68.87059565475528,-22.0925844246592
Hai Duong,2021,II,1.18,160.97,30.4,6.8352491001952576,log_real_min_wage,-17.886311266686626,-42.25998910973609,6.487366576362831
Hai Duong,2022,II,1.5,181.15,29.69,6.846198973283031,log_real_min_wage,-18.51646928138494,-43.02371540982624,5.9907768470563525
Hai Duong,2023,II,1.33,198.22,29.24,6.842032056362808,log_real_min_wage,-16.82307892375919,-43.55814131225381,9.911983464735432
Hai Duong,2024,II,1.27,224.65,29.42,6.841198722981249,log_real_min_wage,-9.427371119687528,-36.87318162234673,18.018439382971664
Hai Phong,2018,I,3.55,189.88,31.3,7.011042647153989,log_real_min_wage,-35.539873937686814,-64.20128918019398,-6.878458695179539
Hai Phong,2019,I,2.06,227.77,31.6,6.994547465284577,log_real_min_wage,-20.592001707157,-54.897806594765534,13.713803180451537
Hai Phong,2020,I,2.37,260.68,34.7,6.961115934904424,log_real_min_wage,-8.788385064467477,-32.566613908212545,14.989843779277535
Hai Phong,2021,I,2.41,309.66,36.01,6.919150110596011,log_real_min_wage,-6.303772222302144,-29.20005616773447,16.59251172313018
Hai Phong,2022,I,2.36,356.76,36.45,6.92321515684418,log_real_min_wage,-6.482570352363068,-30.11676360559048,17.151622900864332
Hai Phong,2023,I,2.35,381.86,36.5,6.927753965488826,log_real_min_wage,-6.660531364813558,-30.279940181849742,16.958877452222627
Hai Phong,2024,I,2.15,427.62,38.04,6.9319404457704925,log_real_min_wage,-7.327433420331431,-31.80737869142867,17.152511850765777
Hau Giang,2018,III,1.86,73.65,9.7,6.090585637975789,log_real_min_wage,-3.3215177996058145,-10.86223142878828,4.219195829576647
Hau Giang,2019,III,3.11,87.25,10.8,6.011659254393502,log_real_min_wage,0.2363499947048725,-13.39329363525645,13.86599362466619
Hau Giang,2020,III,3.05,95.99,14.23,5.969704505325418,log_real_min_wage,0.4432577729760936,-13.542293390981,14.428808936933184
Hau Giang,2021,III,5.43,106.11,13.5,5.924843859766086,log_real_min_wage,-3.531808648119803,-18.67889099889252,11.615273702652903
Hau Giang,2022,III,1.69,119.25,12.48,6.005367452276974,log_real_min_wage,-6.1235665283797935,-20.987058532369147,8.739925475609553
Hau Giang,2023,III,2.01,143.42,13.7,6.001315863158356,log_real_min_wage,-7.967407704358119,-16.61177545741906,0.6769600487028162
Hau Giang,2024,III,2.03,161.96,14.05,6.008321664174405,log_real_min_wage,-9.48899008136614,-18.117060498687696,-0.8609196640445855
Ho Chi Minh city,2018,I,2.89,271.3,36.8,8.41691087098228,log_real_min_wage,-16.36810575724367,-50.92016502147997,18.183953506992577
Ho Chi Minh city,2019,I,2.82,286.34,37.1,8.453735685770818,log_real_min_wage,-16.257151304086488,-51.21272466850872,18.69842206033573
Ho Chi Minh city,2020,I,3.91,298.82,38.71,8.431585192866635,log_real_min_wage,-17.204699879723123,-51.29686932226477,16.88746956281847
Ho Chi Minh city,2021,I,6.4,308.96,35.55,8.373678415963765,log_real_min_wage,-17.467319877402634,-51.54596429849511,16.611324543689822
Ho Chi Minh city,2022,I,4.19,332.11,35.62,8.413495736550331,log_real_min_wage,-17.448474180442705,-51.55625800250225,16.659309641616826
Ho Chi Minh city,2023,I,3.8,342.32,36.01,8.448233176532359,log_real_min_wage,-17.195945413758203,-51.2397119558736,16.847821128357133
