treatment,cut_by,group,n,cate_mean,cate_sd,share_negative,caveat
min_wage_growth,unemployment_rate,high,146,-32.631448026207,442.15532386624784,0.5684931506849316,
min_wage_growth,trained_labour_rate,low,147,109.92436177888591,320.56864351945416,0.35374149659863946,
min_wage_growth,trained_labour_rate,mid,147,252.72427469091622,559.9309307457296,0.35374149659863946,
min_wage_growth,trained_labour_rate,high,147,-203.4039598704783,675.8180453567809,0.6870748299319728,
min_wage_growth,year,2018,63,213.54857042513814,504.94514110023675,0.23809523809523808,
min_wage_growth,year,2019,63,125.02910874863124,538.0424676326672,0.31746031746031744,
min_wage_growth,year,2020,63,86.29834818890818,571.4264320270743,0.36507936507936506,
min_wage_growth,year,2021,63,50.71815981769243,530.2044916246115,0.5238095238095238,
min_wage_growth,year,2022,63,-35.83029691437141,562.9551363513322,0.5873015873015873,
min_wage_growth,year,2023,63,-53.149153069137874,600.8193589308211,0.6190476190476191,
min_wage_growth,year,2024,63,-15.043825131771861,653.5859893946791,0.6031746031746031,
min_wage_growth,wage_region,I,49,543.860436602691,939.1022040555935,0.2857142857142857,wage_region ~ treatment intensity itself; descriptive only
min_wage_growth,wage_region,II,115,-175.1163181552172,582.6430263238547,0.6782608695652174,wage_region ~ treatment intensity itself; descriptive only
min_wage_growth,wage_region,III,235,59.6142855416712,432.7138751382433,0.44680851063829785,wage_region ~ treatment intensity itself; descriptive only
min_wage_growth,wage_region,IV,42,68.78156076490424,140.3283712826261,0.19047619047619047,wage_region ~ treatment intensity itself; descriptive only
