province,year,wage_region,informal_rate,min_wage_nominal,cpi_index,cpi_2018_base,real_min_wage,log_real_min_wage,min_wage_growth,unemployment_rate,labour_productivity,trained_labour_rate,employed_persons,log_employed_persons
Long An,2024,II,62.7,4285000,189.7026680414,119.2576198581923,3593061.8144947365,15.094515270093154,-0.0059474864649540216,1.99,181.53,17.16,1001.51,6.9092641400784895
Nam Dinh,2018,III,75.7,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,0.68,57.54,15.9,1082.87,6.987370202861539
Nam Dinh,2019,III,75.46,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.31,66.91,17.7,1039.06,6.946071737266341
Nam Dinh,2020,III,76.4,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,1.68,75.18,20.07,1010.9,6.918596302160012
Nam Dinh,2021,III,70.17,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,1.71,87.6,22.01,933.89,6.839358658273784
Nam Dinh,2022,III,68.52,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,1.65,94.91,21.5,952.0,6.858565034791365
Nam Dinh,2023,III,66.91,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,1.57,101.93,21.69,955.44,6.8621719673601715
Nam Dinh,2024,III,65.37,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,1.25,116.15,23.75,957.53,6.864357052156667
Nghe An,2018,III,83.2,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,1.28,62.74,20.8,1915.72,7.557848810064582
Nghe An,2019,III,83.96,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.3,69.83,20.7,1904.36,7.551901273109019
Nghe An,2020,III,83.18,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,1.26,76.01,20.76,1906.34,7.552940452355972
Nghe An,2021,III,81.07,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,2.11,99.05,23.37,1590.66,7.371904303426078
Nghe An,2022,III,77.5,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,1.77,110.55,25.29,1596.95,7.375850839021065
Nghe An,2023,III,76.69,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,2.03,118.38,25.66,1597.23,7.376026157882693
Nghe An,2024,III,75.95,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,2.08,131.72,26.53,1601.34,7.378596057720434
Ninh Binh,2018,III,76.47,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,1.36,91.87,27.4,576.25,6.356541594310858
Ninh Binh,2019,III,74.78,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,0.52,106.7,28.9,579.14,6.3615442445453505
Ninh Binh,2020,III,73.17,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,1.36,120.51,30.16,556.95,6.322475469291199
Ninh Binh,2021,III,69.26,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,1.34,147.97,31.74,481.65,6.1772177092036324
Ninh Binh,2022,III,65.31,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,1.32,166.37,31.79,483.5,6.181051314893349
Ninh Binh,2023,III,61.85,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,1.28,173.61,33.61,487.38,6.189044106290917
Ninh Binh,2024,III,63.1,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,1.07,191.01,33.93,492.95,6.200407749021051
Ninh Thuan,2018,III,82.32,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,3.29,77.88,19.3,330.17,5.799607673330689
Ninh Thuan,2019,III,84.17,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,2.93,94.75,18.9,328.76,5.795328001280299
Ninh Thuan,2020,III,87.16,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,3.32,110.22,16.16,318.36,5.763182817937649
Ninh Thuan,2021,III,86.32,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,3.43,131.8,18.79,315.16,5.753080446377488
Ninh Thuan,2022,III,85.13,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,1.99,141.56,17.66,326.92,5.789715492647929
Ninh Thuan,2023,III,83.12,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,2.4,157.0,18.61,327.48,5.791426984508248
Ninh Thuan,2024,III,83.47,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,2.72,175.84,18.58,329.93,5.7988805107475185
Phu Tho,2018,III,77.79,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,1.95,74.43,21.8,828.25,6.719315041180005
Phu Tho,2019,III,73.89,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.46,82.17,24.6,840.01,6.733413796528403
Phu Tho,2020,III,76.45,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,1.47,89.89,25.17,836.42,6.729130879272417
